ID|google_asr_before_sep|amazon_asr_before_sep|ground_truth|google_asr_after_sep|amazon_asr_after_sep
mix1_original_1|the time that you get injured in your life to maybe once every 5 years 10 years it's going to something's going to happen I figure that's|The time that you get injured in your life to maybe once every five years, 10 years, it's gonna something's gonna happen I figure that's something to.|but time that you get injured in your life to maybe once every five years ten years it's gonna something is gonna happen i figured that's something|the time that you get injured in your life so maybe once every 5 years 10 years it's going to something's going to happen I figure that's|time that you get injured in your life. So maybe once every Five years, 10 years, it's gonna, something's gonna happen. I figure that's something
mix1_original_2|Lee you've got this this kid and his friends sort of caught up in the world of a real-life vigilante Duo and the world of the mafia in his in his|You've got this this kid and his his friends sort of caught up in the world of a real life vigilante duo and the world of the mafia in in his his sis.|you've got this this kid and his his friend whose call up in the world of real live vigilante duo and the world of the mafia and his and his|Lee you've got this this kid and his friends will call up in the world a real life vigilante doer and the world of the mafia in receiving citizen|You've got this this kid and his, his friends caught up in the world, a real life vigilante, junior, and the world of the mafia, in the, in the Citizens.
mix2_original_1|Amy he has his he has so much energy and he's so confident and|I mean he has he's he has so much energy and he's so confident and grounded.|he has his he has so much energy and he is so confident and grounded|Amy he has his he has so much energy and he's so confident and|I mean, he has, he's he has so much energy and he's so competent and grounded.
mix2_original_2|is fair you know excitement you know it's it's many|Fear, you know, excitement, you know, it's it's many colors.|fear you know excitement ah you know it's many color|is there you know excitement it's many color|There's there. Uh you know, excitement. It's money, call it.
mix3_original_1|the movie is so there are a bunch of detective because it somehow clouzot is|The movie so there are a bunch of detectives because somehow Clouseau is personally.|the movie so there are bunch of detective because somehow eh clouseau is persc|the movie is so there are a bunch of detective because it's somehow it includes 0 is|the the movie. So there are a bunch of Detective because it's somehow Incluso is perfect.
mix3_original_2|Imperial Japanese police she's wanted by the resistance she has nowhere to go and so she makes a choice|Imperial Japanese police she's wanted by the resistance um she has nowhere to go and so she makes a choice.|ah imperial japanese police she is want it by the resistance uh she has nowhere to go and so she makes a choice|Imperial Japanese three she's wanted by the position she has nowhere to go I'm so she could make the choice was|uh Imperial Japanese police. She's wanted by the resistance. Um She has nowhere to go. And so she makes the choices.
mix4_original_1|but she handled it beautifully we just sat there had fun talked about what we did see and the rain and I saw that poor producer later he|But she handled it beautifully, we just sat there and had fun and talked about what we did see and the Rain and I saw that poor producer later he was.|but she handle it beautifully we just we just sat there and have fun talk about what did see and the rain and I saw that core producer later|but she handled it beautifully we just sat there had once talked about what we did SLI and the rain and I saw for producer later|but she handled it beautifully. We just sat there, had talked about what we did see and the rain. And I saw core producer later.
mix4_original_2|and done the same job a job that he hated he's been married to a woman who hates him for 25 years and somehow by accident|And done the same job, a job that he hated, he's been married to a woman who hates him For 25 years and somehow by accident.|done the same job a job that he hate it he's been married to a woman that hates him for twenty five year and somehow by accident|done the same job with Joe 40 pages we've been married to a woman who Haiti after 25 minutes and then somehow by accident|done the same job. He's been married to a woman who hates him For 25 minutes. And somehow by accident.
mix5_original_1|you know it's I don't really have much to draw from sometimes that's the thing with acting you have to just rely on your|You know, it's I don't really have much to draw from sometimes. That's the thing with acting, you have to just rely on your basic.|you know it's i dont really have much to draw from sometimes that's the same with act you have to just rely on your base|I don't really have much to draw from sometimes that's the same with after you have to fix it will lie on your back|I don't really have much to draw from sometimes accident. You have to rely on your base.
mix5_original_2|I keep it on just on a bookshelf nowhere it ya know where I was in the bathroom for like a week just so I could say I did that|I keep it just on a bookshelf, nowhere, nowhere I was in the bathroom for like a week, just so I could say I did that.|i keep it ah just on a bookshelf nowhere yeah nowhere i was in the bathroom for like a week just like to say i did that|I keep it on the bookshelf hour like a week just so I could say I did that|I keep it on the bookshelf, nowhere for like a week, just so I can say I did that.
