ID|google_asr
mix1_separation_1|the time that you get injured in your life so maybe once every 5 years 10 years it's going to something's going to happen I figure that's
mix1_separation_2|Lee you've got this this kid and his friends will call up in the world a real life vigilante doer and the world of the mafia in receiving citizen
mix2_separation_1|Amy he has his he has so much energy and he's so confident and
mix2_separation_2|is there you know excitement it's many color
mix3_separation_1|the movie is so there are a bunch of detective because it's somehow it includes 0 is
mix3_separation_2|Imperial Japanese three she's wanted by the position she has nowhere to go I'm so she could make the choice was
mix4_separation_1|but she handled it beautifully we just sat there had once talked about what we did SLI and the rain and I saw for producer later
mix4_separation_2|done the same job with Joe 40 pages we've been married to a woman who Haiti after 25 minutes and then somehow by accident
mix5_separation_1|I don't really have much to draw from sometimes that's the same with after you have to fix it will lie on your back
mix5_separation_2|I keep it on the bookshelf hour like a week just so I could say I did that
mix6_separation_1|very comfortable and it's very blurry that was hard but that wasn't a hotspot hardest part was not able to
mix6_separation_2|honor these type of men that do this every day they put themselves In Harm's Way that's what this movie
mix7_separation_1|I'm trying to be generous I think it was always hard for him because
mix7_separation_2|and I were living in Richmond that was timing I had
mix8_separation_1|I know but I'm a I'm a manager now I'm going to ride with Riley I'd react
mix8_separation_2|because they were so much this case it was the idea to editors were really idea
mix9_separation_1|but we love to yeah what I wouldn't give for just one night with you not to do weird Justin I said weird
mix9_separation_2|everybody thought it was going to do what it's done but actors are always kind of naive to that they always think that everything we do is going to last
mix10_separation_1|we not challenges I mean when I realize that my
mix10_separation_2|thing about having Jason and refectory those conversations about how those characters
mix11_separation_1|cared for so much more respect with James Morrison's it with the role and so I think both of you know all of us have this in common we judge we look up to the people who play
mix11_separation_2|so remember that very very clearly has to be true I remember think he'd have to give all your energy to table and but yeah there's no telling the truth
mix12_separation_1|I haven't totally personally but I'm definitely Ethel more aware
mix12_separation_2|Amica I haven't asked a question to things and I always loved
mix13_separation_1|they put together a big stunt real one year after maybe season three of Star Trek and what the
mix13_separation_2|you know everybody's welcoming very moment to show them to come in
mix14_separation_1|your favorite artist is mine and I would rather see them in a place like town hall and then at like Madison Square Garden so it's kind of for me a really big little old
mix14_separation_2|you're like almost going to roll over these people they don't have because it really is you figure out how to play this game as far as getting artists to come over to your team
mix15_separation_1|you see these two serious actors I'm see these guys that are trying to kill each other you know every every night we go
mix15_separation_2|when you go inside the background of the count has been admitted for whatever
mix16_separation_1|compassion every day I went to the Rosemary everyday I always was on meditation and talk too much
mix16_separation_2|talk that's more Luther esk things whether it's film whether it's been off balance but nothing's set in stone it's a it's a nice rumor to sort of explore but I'm not
